Name,Link,Content,Score,Desc
KanCloud,[kancloud](https://www.kancloud.cn/apachecn/guru99-zh/1953947),Book 教程,60, Account:GH Whf
CoolShell,https://coolshell.cn/articles/17416.html,Blog,80,
Ruanyifeng,[ryf](https://www.ruanyifeng.com/blog/),Blog,80,Front,
UU跑腿,[UU](https://tech.uupt.com/),Tech,60
TODO系统设计,[](https://www.designgurus.io/course/grokking-the-coding-interview),系统设计课程 教程,80，
设计编码面试,[arslan-ahmad](https://medium.com/@arslan-ahmad),设计编码,99
TODO 面试,[](https://github.com/zlhcsm/javaOffer/blob/master/%E5%88%86%E5%B8%83%E5%BC%8F%E6%A1%86%E6%9E%B6/Redis%E4%B9%8B%E6%95%B0%E6%8D%AE%E7%BB%93%E6%9E%84%E5%AE%9E%E9%99%85%E5%BA%94%E7%94%A8.md),

JoYO,[joyohub](https://joyohub.com/2020/07/26/redis/redis-lua-tx/),Blog,70,Redis 事务
Readthdocs,[](https://pegasuswang.readthedocs.io/zh/latest/database/Mysql%E6%8A%80%E6%9C%AF%E5%86%85%E5%B9%95InnoDB%E5%AD%98%E5%82%A8%E5%BC%95%E6%93%8E/),Blog ,60,Book